conjecture_id,arxiv_id,title,abs_url,pdf_url,source_url,source_file,start_line,end_line,body_tex,plain_text,label,confidence,interestingness_score,interestingness_confidence,interestingness_rationale,viability_score,viability_confidence,viability_rationale,assessment_version,rationale,evidence_snippet,labeled_at
263,2602.17746v1,Fermat's Last Theorem for Selmer sections,http://arxiv.org/abs/2602.17746v1,https://arxiv.org/pdf/2602.17746v1,https://arxiv.org/e-print/2602.17746v1,fltforselmersections.tex,131,135,"Let $V/k$ be a smooth, geometrically connected, hyperbolic curve over a number field $k$. Then the map
		\[\kappa: V(k)\sqcup \bigsqcup_{y \in Y(k)}\mathscr{S}_{\pi_1(V_y/k)}\longrightarrow \mathscr{S}_{\pi_1(V/k)}\]
		is bijective.","Let $V/k$ be a smooth, geometrically connected, hyperbolic curve over a number field $k$. Then the map \[: V(k) _ y Y(k) S_ _1(V_y/k) S_ _1(V/k) \] is bijective.",real_open_conjecture,1.0,0.98,0.9,"Fundamental anabelian conjecture linking arithmetic fundamental groups to rational points/cusps on hyperbolic curves; a major, deep open problem whose resolution would have transformative impact on Diophantine and anabelian geometry.",0.75,0.6,"Author claims a proof for ℓ≥7 using Serre's Frey-curve/modularity strategy together with Khare–Wintenberger. Method is classical and plausible, so likely resolved soon pending peer review and technical verification.",gpt5mini-v4-viability-scout-v1,"The Grothendieck (section) conjecture is a classical, widely open conjecture; here it is stated in full generality as an open conjecture.",Lines 131–135: Section Conjecture (Grothendieck): map κ: V(k) ∪ ⋃_{y∈Y(k)} S_{π_1(V_y/k)} → S_{π_1(V/k)} is bijective. 'In this generality the section conjecture is still widely open.',2026-03-04T14:57:55Z
405,2602.12692v1,"Khovanov concordance minima and the (4,5) torus knot",http://arxiv.org/abs/2602.12692v1,https://arxiv.org/pdf/2602.12692v1,https://arxiv.org/e-print/2602.12692v1,t45.tex,211,214,"\label{conj:sliceribbon}
	The concordance class of the unknot has a global minimum (the unknot itself) with respect to $\leq$.",The concordance class of the unknot has a global minimum (the unknot itself) with respect to $$.,real_open_conjecture,1.0,0.98,0.95,"Longstanding central problem in knot concordance: deciding whether slice equals ribbon for the unknot. Resolution would have major implications for 4‑manifold topology, concordance order, and knot homology obstructions.",0.04,0.35,"Slice–ribbon/global-minimum assertions are longstanding flagship problems. Only partial obstructions via knot homologies are noted; no decisive breakthroughs or imminent resolution signs appear in the snippet, so near-term resolution unlikely.",gpt5mini-v4-viability-scout-v1,"The slice–ribbon conjecture is a longstanding, widely recognized open problem in knot concordance literature, here restated explicitly.",Conjecture (Slice-ribbon): The concordance class of the unknot has a global minimum (the unknot itself) with respect to \le. (Lines 211-214),2026-03-04T15:23:56Z
65,2603.00304v1,Burning rooted graph products,http://arxiv.org/abs/2603.00304v1,https://arxiv.org/pdf/2603.00304v1,https://arxiv.org/e-print/2603.00304v1,main.tex,3857,3859,"If $G$ is a connected graph with $n$ vertices, then $b(G) \le \lceil \sqrt{n}\rceil$.","If $G$ is a connected graph with $n$ vertices, then $b(G) n$.",real_open_conjecture,0.99,0.95,0.8,"Central long-standing conjecture, sharp for paths and verified for many classes; recently proved asymptotically by Norin–Turcotte. Deep combinatorial and algorithmic implications (computing b(G) is NP-complete), so resolution would be significant.",0.45,0.35,"Norin–Turcotte (2024) establishes the BNC asymptotically and many graph classes are settled; strong partial progress and tree reduction make a resolution plausible, but tightening to exact ceil(√n) remains nontrivial.",gpt5mini-v4-viability-scout-v1,"The Burning Number Conjecture (BNC) is a well-known, actively posed open problem in graph theory referenced as a central open problem in the paper.","“A major motivation ... the Burning Number Conjecture (BNC): If G is a connected graph with n vertices, then b(G) ≤ ⌈√n⌉.”",2026-03-04T13:53:51Z
135,2602.22502v1,Weakening the Legendre Conjecture,http://arxiv.org/abs/2602.22502v1,https://arxiv.org/pdf/2602.22502v1,https://arxiv.org/e-print/2602.22502v1,legendre-riemann-arxiv.tex,72,75,"There is a prime between $n^2$ and $(n + 1)^2$ for all positive integers
  $n$.",There is a prime between $n^2$ and $(n + 1)^2$ for all positive integers $n$.,real_open_conjecture,0.99,0.98,0.9,"Classic Landau problem; longstanding open question about prime gaps between consecutive squares, connected to RH and deep prime-distribution results. Resolving it would be a major advance in analytic number theory.",0.08,0.6,"Legendre is a century-old, famously hard problem; only RH-conditional progress (δ≥1/4 and large-x bounds) is reported. No unconditional breakthrough evidence — near-term full resolution unlikely.",gpt5mini-v4-viability-scout-v1,Classical Legendre conjecture (prime between consecutive squares) is a long-standing open problem; paper states it explicitly as a conjecture.,Conjecture [Legendre]: There is a prime between n^2 and (n+1)^2 for all positive integers n. (lines 72–75),2026-03-04T14:07:47Z
251,2602.17859v1,A discrete view of Gromov's filling area conjecture,http://arxiv.org/abs/2602.17859v1,https://arxiv.org/pdf/2602.17859v1,https://arxiv.org/e-print/2602.17859v1,main.tex,95,97,"\label[conj]{gromovConjecture}
    If $M$ is a compact, orientable Riemannian surface which isometrically fills the Riemannian circle of length $2\pi$, then the surface area of $M$ is at least $2\pi$.","If $M$ is a compact, orientable Riemannian surface which isometrically fills the Riemannian circle of length $2$, then the surface area of $M$ is at least $2$.",real_open_conjecture,0.99,0.98,0.9,"Classic major open problem in Riemannian/filling geometry; proven only for disks and genus‑1, with only recent quantitative lower bounds (this paper: 1.36π). A full resolution would be deep and highly significant.",0.04,0.7,"Decades-old Gromov conjecture; only disk/genus-1 cases known. New discrete lower bound (≈1.36π) is modest progress but far from the 2π target, so full resolution in five years is unlikely.",gpt5mini-v4-viability-scout-v1,"Gromov's filling area conjecture is a classical, actively open conjecture (noted unresolved in the paper).",Lines 75–83 and 95–97: 'Gromov's filling area conjecture ... the full conjecture remains unresolved. \begin{conj}[Gromov's filling area conjecture] ... surface area ... at least $2\pi$.',2026-03-04T14:55:14Z
465,2602.09860v2,$k$-Positivity and high-dimensional bound entanglement under symplectic group symmetry,http://arxiv.org/abs/2602.09860v2,https://arxiv.org/pdf/2602.09860v2,https://arxiv.org/e-print/2602.09860v2,main.tex,1105,1106,"[\cite{PPTsq, CMHW19}] \label{conj-PPT1}The composition of any two \emph{PPT} linear maps is \emph{entanglement breaking}. In other words, if $\Le_1$ and $\Le_2$ are CP linear maps whose Choi matrices are PPT, then the Choi matrix of $\Le_1\circ \Le_2$ is separable.","[] The composition of any two PPT linear maps is entanglement breaking. In other words, if $_1$ and $_2$ are CP linear maps whose Choi matrices are PPT, then the Choi matrix of $_1 _2$ is separable.",real_open_conjecture,0.99,0.95,0.85,"Central open problem in quantum information/operator algebras; resolved only for d=2,3 with many partial results. A proof would clarify fundamental structure of PPT maps, entanglement breaking channels, and impact quantum repeater theory.",0.04,0.6,"Central, long-standing PPT-squared problem: only settled in d=2,3 and for restricted symmetric families (as here). Many partial results exist but no clear route to a full general proof — unlikely within five years.",gpt5mini-v4-viability-scout-v1,This is the well-known PPT-squared conjecture in quantum information theory (composition of PPT maps is entanglement-breaking); actively open in general and cited as such.,"Lines 1103–1106: Conjecture: The composition of any two PPT linear maps is entanglement breaking (if Le1,Le2 have PPT Choi matrices, Le1∘Le2 is separable).",2026-03-04T15:34:30Z
466,2602.09860v2,$k$-Positivity and high-dimensional bound entanglement under symplectic group symmetry,http://arxiv.org/abs/2602.09860v2,https://arxiv.org/pdf/2602.09860v2,https://arxiv.org/e-print/2602.09860v2,main.tex,1110,1112,"\label{conj-PPT2}
For any positive linear map $\Le_1$ and any PPT linear map $\Le_2$, the composition $\Le_1\circ \Le_2$ is decomposable.","For any positive linear map $_1$ and any PPT linear map $_2$, the composition $_1 _2$ is decomposable.",real_open_conjecture,0.99,0.95,0.8,"Widely-known central open problem connecting PPT maps, entanglement-breaking channels, and operator algebras; only resolved in low dimensions and many partial results—resolution would crucially impact entanglement theory and operator systems.",0.03,0.7,"Widely known PPT-squared conjecture solved only in low dimensions; current progress is for special symmetric families (e.g., symplectic covariance). No general breakthrough indicated, so near-term resolution is unlikely.",gpt5mini-v4-viability-scout-v1,Equivalent formulation of the PPT-squared conjecture (composition of a positive and a PPT map is decomposable); clearly presented as an open conjecture.,"Lines 1110–1112: Conjecture \ref{conj-PPT2}: For any positive map Le1 and any PPT map Le2, the composition Le1∘Le2 is decomposable.",2026-03-04T15:34:40Z
576,2602.07558v1,Bounded gaps and perfect power gaps in sequences of consecutive primes,http://arxiv.org/abs/2602.07558v1,https://arxiv.org/pdf/2602.07558v1,https://arxiv.org/e-print/2602.07558v1,primegeng4.tex,626,631,"\lb{conj01}
  If the set $\{g_1x+h_1,g_2x+h_2,\dots g_kx+h_k\}\subseteq \mathbb Z[x]$
  is admissible, then there are infinitely many positive integers $n$
  for which every element of the set $\{g_1n+h_1,g_2n+h_2,\dots g_kn+h_k\}$
  is prime.","conj01 If the set $\ g_1x+h_1,g_2x+h_2, g_kx+h_k\ Z[x]$ is admissible, then there are infinitely many positive integers $n$ for which every element of the set $\ g_1n+h_1,g_2n+h_2, g_kn+h_k\ $ is prime.",real_open_conjecture,0.99,0.99,0.9,Deep generalization of prime k-tuples (implies twin primes etc.); central open problem whose resolution would settle many classical prime-distribution conjectures; only partial progress via Maynard–Tao bounded gaps.,0.03,0.35,Dickson's conjecture is a decades-old grand problem; Maynard–Tao gives significant bounded-gap partial results but falls short of producing full prime k-tuples. A decisive resolution within five years is unlikely.,gpt5mini-v4-viability-scout-v1,"Dickson's conjecture is a classical, well-known open conjecture in number theory; the paper explicitly says it remains unsolved.","Lines 626–633: Statement of Dickson's conjecture. Line 633–634: “Dickson's conjecture remains unsolved; however, …”",2026-03-04T15:55:19Z
742,2602.02302v1,Decidability of Interpretability,http://arxiv.org/abs/2602.02302v1,https://arxiv.org/pdf/2602.02302v1,https://arxiv.org/e-print/2602.02302v1,main_LICS_arxiv_version.tex,152,154,"\label{conj:bp}
    Let $\bC$ be a first-order reduct of a finitely bounded homogeneous structure $\bA$. Then $\CSP(\bC)$ is either in P or NP-complete.",Let $$ be a first-order reduct of a finitely bounded homogeneous structure $$. Then $()$ is either in P or NP-complete.,real_open_conjecture,0.99,0.98,0.9,Central open problem in infinite-domain CSPs; generalizes Bulatov–Zhuk finite-domain dichotomy; deep model-theoretic and algebraic content via polymorphism clones; many special cases solved but full classification remains widely open and impactful.,0.22,0.34,"Many important special cases have been settled (Q,<; equality; poset; random graph; tournament; MMSNP), but the Bodirsky–Pinsker dichotomy remains wide-open in general; broad scope makes a near-term full resolution unlikely.",gpt5mini-v4-viability-scout-v1,"The Bodirsky–Pinsker conjecture is a well-known, widely stated open conjecture about P vs NP-complete dichotomy for CSPs of finitely bounded homogeneous reducts.",Conjecture (Bodirsky and Pinsker): Let C be a first-order reduct of a finitely bounded homogeneous structure A. Then CSP(C) is either in P or NP-complete. The conjecture is still wide-open in general.,2026-03-04T16:26:45Z
11,2603.01614v1,Mapping properties of the $S$-operator,http://arxiv.org/abs/2603.01614v1,https://arxiv.org/pdf/2603.01614v1,https://arxiv.org/e-print/2603.01614v1,sn-article.tex,209,211,"Suppose that $d \geq 2$ is an even integer and $E \subset \mathbb{F}_q^d$. If $|E| \geq Cq^{d/2}$ for a sufficiently large constant $C$ independent of $q$, then $|\Delta(E)| \gtrsim q$.","Suppose that $d 2$ is an even integer and $E F_q^d$. If $|E| Cq^ d/2 $ for a sufficiently large constant $C$ independent of $q$, then $|(E)| q$.",real_open_conjecture,0.98,0.95,0.85,"Core open Erdős–Falconer conjecture in even dimensions; improving the exponent from (d+1)/2 to d/2 is widely believed deep and important, tied to difficult spherical restriction/Kloosterman-sum issues and would be a major breakthrough.",0.12,0.55,"Spherical restriction in even higher dimensions is labeled ""very difficult""; progress is limited to low dimensions/prime fields and blocked by hard Kloosterman-sum issues—no promising general method is known.",gpt5mini-v4-viability-scout-v1,"This is the finite-field Erdős–Falconer distance conjecture for even dimensions; the paper explicitly states it ""remains open for all even dimensions.""","Lines 207-211: ""... for even dimensions d\ge 2, it is conjectured that the exponent (d+1)/2 can be improved to d/2... \begin{conjecture} Suppose d is even ... If |E|\ge Cq^{d/2} ... then |\Delta(E)| \gtrsim q. \end{conjecture}.""",2026-03-04T13:44:56Z
