id,arxiv_id,title,published_at,updated_at,authors,categories,primary_category,doi,journal_ref,comments,abs_url,pdf_url,source_url,license_url,source_file,index_in_file,start_line,end_line,body_tex,plain_text,content_hash
755,2603.04365v1,Comparison theorems for the extreme eigenvalues of a random symmetric matrix,2026-03-04T18:30:04Z,2026-03-04T18:30:04Z,Joel A. Tropp,math.PR;math.NA;math.ST,math.PR,,,32 pages,http://arxiv.org/abs/2603.04365v1,https://arxiv.org/pdf/2603.04365v1,https://arxiv.org/e-print/2603.04365v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,Tro26-Comparison-Maximum-arxiv.tex,1,4596,4610,"\label{conj:nn}
Fix a subspace dimension $d$ and distortion parameters $\alpha = \beta \in (0,1)$.
There exists a construction of a random sparse matrix $\mtx{\Phi} : \R^n \to \R^k$
with at most $\zeta$ nonzero entries per column and with embedding dimension
$k$ that satisfy
\[
\zeta \leq \mathrm{Const} \cdot \alpha^{-1} \log d
\quad\text{and}\quad
k \leq \mathrm{Const} \cdot \alpha^{-2} \log d.
\]
For any fixed subspace of dimension $d$, with probability at least $1 - d^{-1}$,
this random sparse matrix $\mtx{\Phi}$ serves as a subspace embedding
with distortion parameters $\alpha, \beta$.
The constants are universal.","Fix a subspace dimension $d$ and distortion parameters $ = (0,1)$. There exists a construction of a random sparse matrix $ : ^n ^k$ with at most $$ nonzero entries per column and with embedding dimension $k$ that satisfy \[ Const ^ -1 d k Const ^ -2 d. \] For any fixed subspace of dimension $d$, with probability at least $1 - d^ -1 $, this random sparse matrix $$ serves as a subspace embedding with distortion parameters $, $. The constants are universal.",f966a1081dc4625c217ac417b480e1010c3df72889d5e3ceffb8968f9751e5df
756,2603.04271v1,Continuity of Magnitude at Skew Finite Subsets of $\ell_1^N$,2026-03-04T16:55:00Z,2026-03-04T16:55:00Z,Sara Kalisnik;Davorin Lesnik,math.MG;math.GN,math.MG,,,,http://arxiv.org/abs/2603.04271v1,https://arxiv.org/pdf/2603.04271v1,https://arxiv.org/e-print/2603.04271v1,http://creativecommons.org/licenses/by/4.0/,main_magnitude_continuity.tex,1,1105,1109,"For every skew $F \in \ifsub(\ell_1^N)$ and $r \in \intoo{0}{\frac{\skw(F)}{2}}$ we have
\[\det\big(Z_{\cc_F(r)^{(0)}}\big) = 4^k r^k + O(r^{k+1})\]
where $k := 2^{N-1} N \cdot \card{F}$ (i.e.\ $k$ is the number of $1$-dimensional faces in~$\cc_F(r)$).",For every skew $F (_1^N)$ and $r 0 (F) 2 $ we have \[(Z_ _F(r)^ (0) ) = 4^k r^k + O(r^ k+1 )\] where $k := 2^ N-1 N F$ (i.e.\ $k$ is the number of $1$-dimensional faces in~$_F(r)$).,5356e3830ee9c6ae53341dbc80103725b1716061a54556a3ac5f9ec26e7ed03e
757,2603.04218v1,Arrow pattern avoidance in permutations: structure and enumeration,2026-03-04T16:03:07Z,2026-03-04T16:03:07Z,Kassie Archer;Robert P. Laudone,math.CO,math.CO,,,19 pages,http://arxiv.org/abs/2603.04218v1,https://arxiv.org/pdf/2603.04218v1,https://arxiv.org/e-print/2603.04218v1,http://creativecommons.org/licenses/by/4.0/,Arrow-patter-avoidance-in-permutaitons-struccture-enum.tex,1,802,810,"For $n\geq 2,$
    \begin{itemize}
        \item $a_n(123, (12; 1 \to 3)) = 2^{n}-n$,
        \item $a_n(321,(12; 1 \to 3)) = F_{2n-1}$, and 
        \item  $a_n(321,(12;1 \to 2)) = M_n$,
    \end{itemize}
     where $F_n$ is the $n$-th Fibonacci number and $M_n$ is the $n$-th Motzkin number.","For $n 2,$ itemize $a_n(123, (12; 1 3)) = 2^ n -n$, $a_n(321,(12; 1 3)) = F_ 2n-1 $, and $a_n(321,(12;1 2)) = M_n$, itemize where $F_n$ is the $n$-th Fibonacci number and $M_n$ is the $n$-th Motzkin number.",e6205ff161f3ead54383f44f2aa1421247d8874bbad1807a4e2b3d975174a7db
758,2603.04174v1,On Ramsey Properties of k-Majority Tournaments,2026-03-04T15:29:52Z,2026-03-04T15:29:52Z,Asaf Shapira;Raphael Yuster,math.CO,math.CO,,,,http://arxiv.org/abs/2603.04174v1,https://arxiv.org/pdf/2603.04174v1,https://arxiv.org/e-print/2603.04174v1,http://creativecommons.org/licenses/by-nc-nd/4.0/,majority-bipartite.tex,1,183,185,"\label{conj:1}
	$r_k = O(1/k)$.",$r_k = O(1/k)$.,613e82808fc5f96800e0fc0d5c11ea489c55905719764c6d37c46a5c2dc32196
759,2603.04167v1,Relative $\mathbb{A}^1$-Contractibility of Smooth Schemes and Exotic Motivic Spheres,2026-03-04T15:24:03Z,2026-03-04T15:24:03Z,Krishna Kumar Madhavan Vijayalakshmi,math.AG;math.AC;math.AT,math.AG,,,"Comments/suggestions welcome. 198 pages, 9 figures. This work is the author's Ph.D. dissertation",http://arxiv.org/abs/2603.04167v1,https://arxiv.org/pdf/2603.04167v1,https://arxiv.org/e-print/2603.04167v1,http://creativecommons.org/licenses/by/4.0/,Chapters/main.tex,1,1229,1231,The sheaf of $\AA^1$-connected components $\pi_0^{\AA^1}$ is $\AA^1$-invariant.,The sheaf of $^1$-connected components $_0^ ^1 $ is $^1$-invariant.,781e492b7e9eb4fe9ac93ee11157314325a096a932de2fa5cca827ee6f000c42
760,2603.04167v1,Relative $\mathbb{A}^1$-Contractibility of Smooth Schemes and Exotic Motivic Spheres,2026-03-04T15:24:03Z,2026-03-04T15:24:03Z,Krishna Kumar Madhavan Vijayalakshmi,math.AG;math.AC;math.AT,math.AG,,,"Comments/suggestions welcome. 198 pages, 9 figures. This work is the author's Ph.D. dissertation",http://arxiv.org/abs/2603.04167v1,https://arxiv.org/pdf/2603.04167v1,https://arxiv.org/e-print/2603.04167v1,http://creativecommons.org/licenses/by/4.0/,Chapters/main.tex,2,3346,3348,"Let $S$ be any Noetherian scheme with characteristic zero residue fields. Let $f: X\to S$ be a smooth scheme of relative dimension 2. Then if $X$ is $\AA^1$-homotopic to  $\AA^2_S\bs \{0\}$, then $X$ is isomorphic to $\AA^2_S\bs \{0\}$ as a $S$-scheme.","Let $S$ be any Noetherian scheme with characteristic zero residue fields. Let $f: X S$ be a smooth scheme of relative dimension 2. Then if $X$ is $^1$-homotopic to $^2_S \ 0\ $, then $X$ is isomorphic to $^2_S \ 0\ $ as a $S$-scheme.",109ab20263a3e505ee840064e9de3e6de92d6c83b6fa9f1ef9538b180db4ed0d
761,2603.03873v1,Lubin's conjecture for height-one $p$-adic dynamical systems over $(p^2-p)$-tame extensions,2026-03-04T09:26:01Z,2026-03-04T09:26:01Z,Martin Debaisieux,math.NT;math.DS,math.NT,,,15 pages,http://arxiv.org/abs/2603.03873v1,https://arxiv.org/pdf/2603.03873v1,https://arxiv.org/e-print/2603.03873v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,lubin-conj-ht1-stame.tex,1,94,96,"{Sar05}}]
    Suppose that $f$ and $u$ are a noninvertible and a nontorsion invertible series, respectively, defined over the ring of integers $\mathcal{O}$ of a finite extension of $\mathbb{Q}_p$. Suppose further that the roots of $f$ and all of its iterates are simple, and that $f'(0)$ is a uniformizer in $\mathbb{Z}_p$. If $f \circ u = u \circ f$, then $f, u \in \End_\mathcal{O}(F)$ for some formal group $F$ over $\mathcal{O}$.","Sar05 ] Suppose that $f$ and $u$ are a noninvertible and a nontorsion invertible series, respectively, defined over the ring of integers $O$ of a finite extension of $Q_p$. Suppose further that the roots of $f$ and all of its iterates are simple, and that $f'(0)$ is a uniformizer in $Z_p$. If $f u = u f$, then $f, u _O(F)$ for some formal group $F$ over $O$.",dcc1fbc79c84e7428c61e3a193522bf4bd3bb546a6eb286659f15be5c1e513b1
762,2603.03628v1,A relation between the HOMFLY-PT and Kauffman polynomials via characters,2026-03-04T01:36:51Z,2026-03-04T01:36:51Z,Andreani Petrou;Shinobu Hikami,hep-th;math-ph,hep-th,,,,http://arxiv.org/abs/2603.03628v1,https://arxiv.org/pdf/2603.03628v1,https://arxiv.org/e-print/2603.03628v1,http://creativecommons.org/licenses/by/4.0/,main.tex,1,1192,1198,"\label{conj:3strand}
    The conjectured relation between HZ factorisability and the HOMFLY--PT/Kauffman relation in (\ref{conj}),  can be stated for $m=3$-strand braids in terms of  characters of the BMW algebra representations as 
 \be\label{3conjecture}
\hspace{-1mm}\boxed{\chi_{[21]}=\pm(\beta^{-\delta}+\beta^{-\delta+2}+\cdots+ \beta^{\delta})\iff{\widetilde{\chi_0}}_{\rm odd}(A,q)=\frac{A-A^{-1}}{q-q^{-1}}\widetilde{\chi_0}_{\rm even}(A,q),}
\ee
where $\widetilde{\chi_0}_{\rm even/odd}(A,q):=\frac{1}{2}\left(\chi_0(iA,iq)\pm\chi_0(iA,-iq)\right)$.","The conjectured relation between HZ factorisability and the HOMFLY--PT/Kauffman relation in (), can be stated for $m=3$-strand braids in terms of characters of the BMW algebra representations as -1mm _ [21] =(^ - +^ -+2 ++ ^ ) _0 _ odd (A,q)= A-A^ -1 q-q^ -1 _0_ even (A,q), where $_0_ even/odd (A,q):=1 2 (_0(iA,iq)_0(iA,-iq))$.",20b1d4e25d29c9d6ee4e5ff0b8f6f4264c5d40f847cf3bda35e8cc3209e3f6b2
763,2603.03628v1,A relation between the HOMFLY-PT and Kauffman polynomials via characters,2026-03-04T01:36:51Z,2026-03-04T01:36:51Z,Andreani Petrou;Shinobu Hikami,hep-th;math-ph,hep-th,,,,http://arxiv.org/abs/2603.03628v1,https://arxiv.org/pdf/2603.03628v1,https://arxiv.org/e-print/2603.03628v1,http://creativecommons.org/licenses/by/4.0/,main.tex,2,1288,1293,"If a knot $\mathcal{K}$ with braid index at least $m$, with $ m\geq4$, satisfies the HOMFLY--PT/Kauffman relation, then the HZ transform of its HOMFLY--PT polynomial is factorisable, i.e.
     \be\label{conj4}
 { H (\mathcal{K}) = \widehat {KF}(\mathcal{K}) \implies  Z(\mathcal{K}) = \frac{\lambda \prod_{i=0}^{m-2}(1-\lambda q^{\alpha_i})}{\prod_{i=0}^m (1-\lambda q^{\beta_i})} }.
 \ee","If a knot $K$ with braid index at least $m$, with $ m4$, satisfies the HOMFLY--PT/Kauffman relation, then the HZ transform of its HOMFLY--PT polynomial is factorisable, i.e. H (K) = KF (K) Z(K) = _ i=0 ^ m-2 (1- q^ _i ) _ i=0 ^m (1- q^ _i ) .",ebe17da7d9b1d337f408a71f07c506d95044c0504c0bcda36d62370408c97e92
764,2603.03425v1,Combinatorics of the Cosmohedron,2026-03-03T19:00:00Z,2026-03-03T19:00:00Z,Federico Ardila-Mantilla;Nima Arkani-Hamed;Carolina Figueiredo;Francisco Vazão,math.CO;hep-th,math.CO,,,"52 pages, 23 figures",http://arxiv.org/abs/2603.03425v1,https://arxiv.org/pdf/2603.03425v1,https://arxiv.org/e-print/2603.03425v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,cosmohedra.tex,1,1738,1743,"\label{conj:asymptotic} The number of Matryoshkas grows asymptotically like 
\[
m_n \sim  c \cdot n!  \cdot  n^4
\]
for $c = 0.005428\ldots$.",The number of Matryoshkas grows asymptotically like \[ m_n c n! n^4 \] for $c = 0.005428$.,3428e7d717edc398f5e03f2548a8464ecbaec60257e37a23d9c3f1c259308d82
