id,arxiv_id,title,published_at,updated_at,authors,categories,primary_category,doi,journal_ref,comments,abs_url,pdf_url,source_url,license_url,source_file,index_in_file,start_line,end_line,body_tex,plain_text,content_hash,normalized_license_url,license_family,publication_decision,publication_text_allowed,publication_text_reason,publication_policy_version
4411,2607.08677v1,Twofold universality of large-$N$ melonic random tensors,2026-07-09T16:41:50Z,2026-07-09T16:41:50Z,Carlos I. Perez-Sanchez,math.CO;cond-mat.stat-mech;hep-th;math-ph;math.PR,math.CO,,,"22 pp, 12pt fontsize, several figures. Comments welcome",http://arxiv.org/abs/2607.08677v1,https://arxiv.org/pdf/2607.08677v1,https://arxiv.org/e-print/2607.08677v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,uniwersalnosc_melonow.tex,1,1714,1733,"\label{theoconj}
The melonic integrals (i.e. for $B_1,\ldots, B_n$ melonic, $D$-coloured graphs)
\[
I_{N,D,n}(B_1,\ldots,B_n) :=
N^{n(D-1) -D} \int_{(\C^{N})^{\otimes D}} B_1(T)B_2(T)\cdots B_n(T) \gauss
\]
satisfy
\[
\lim_{N\to \infty} I_{N,D,n}(B_1,\ldots,B_n)
=\mathrm{Mel}_n (p_1,p_2,\ldots, p_n).
\]
In particular, the right hand side does not depend on $D$, and it
depends on the graphs only through their number of vertices, but
not on their combinatorial details.  This statement is a theorem
for all diagrams of shape $(p_1,p_2,p_3,\ldots,p_n)$
that appear coloured in Figure \ref{fig:progress}
being $p_i=\#V(B_i)/2$, and else a conjecture (since in the integral
one can permute the $B_i$'s in descending order of the $p_i$'s,
we do not care about the order).","The melonic integrals (i.e. for $B_1,, B_n$ melonic, $D$-coloured graphs) \[ I_ N,D,n (B_1,,B_n) := N^ n(D-1) -D _ (^ N )^ D B_1(T)B_2(T) B_n(T) \] satisfy \[ _ N to I_ N,D,n (B_1,,B_n) =Mel_n (p_1,p_2,, p_n). \] In particular, the right hand side does not depend on $D$, and it depends on the graphs only through their number of vertices, but not on their combinatorial details. This statement is a theorem for all diagrams of shape $(p_1,p_2,p_3,,p_n)$ that appear coloured in Figure being $p_i=\#V(B_i)/2$, and else a conjecture (since in the integral one can permute the $B_i$'s in descending order of the $p_i$'s, we do not care about the order).",9290de979929120ba4364e88a921266592eae75b8ab9d628e1e1de5759fd46b6,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,arxiv_nonexclusive_distrib,withhold_text,False,arxiv_nonexclusive_distribution_license,hf-publication-v2
4412,2607.08660v1,Reduction modulo p of crystalline Galois representations via μ_p-equivariance,2026-07-09T16:28:13Z,2026-07-09T16:28:13Z,Bhargav Bhatt;Toby Gee;Mark Kisin,math.NT;math.AG,math.NT,,,90 pages,http://arxiv.org/abs/2607.08660v1,https://arxiv.org/pdf/2607.08660v1,https://arxiv.org/e-print/2607.08660v1,http://creativecommons.org/licenses/by/4.0/,inertial-weights-F-gauges.tex,1,1440,1444,"\label{conj:mainconj} Suppose that $\rhobar$ is semisimple. Then 
\[
  W(\rhobar)=W^{\cris}(\rhobar)=W^{\explicit}(\rhobar).
\]",Suppose that $$ is semisimple. Then \[ W()=W^ ()=W^ (). \],f324b49bcb691464202b2b0b87ecb9bbafdf1956429b1bd4eb536b3474d63de4,https://creativecommons.org/licenses/by/4.0/,cc_by,publish_text,True,creativecommons_license_treated_as_publishable,hf-publication-v2
4413,2607.08660v1,Reduction modulo p of crystalline Galois representations via μ_p-equivariance,2026-07-09T16:28:13Z,2026-07-09T16:28:13Z,Bhargav Bhatt;Toby Gee;Mark Kisin,math.NT;math.AG,math.NT,,,90 pages,http://arxiv.org/abs/2607.08660v1,https://arxiv.org/pdf/2607.08660v1,https://arxiv.org/e-print/2607.08660v1,http://creativecommons.org/licenses/by/4.0/,inertial-weights-F-gauges.tex,2,4613,4616,"\label{optimistic-conj:crystalline-Serre-weight}
  If~$\rhobar:\Gal_{\Qp}\to\LG(\Fpbar)$ is semisimple, then~$W(\rhobar)=W^{\cris}(\rhobar)=W^{\explicit}(\rhobar)$.","If $:_ to ()$ is semisimple, then $W()=W^ ()=W^ ()$.",a0ddb7748115d99a7272102834befd5e3261109e1ba53235c5e16523a470caaa,https://creativecommons.org/licenses/by/4.0/,cc_by,publish_text,True,creativecommons_license_treated_as_publishable,hf-publication-v2
4414,2607.08632v1,Uncountably many extremal Series--Sinai states for the Ising model on Lobachevsky lattices,2026-07-09T16:01:40Z,2026-07-09T16:01:40Z,Jean Vereecke,math.PR,math.PR,,,"11 pages, 7 figures. Comments are welcome",http://arxiv.org/abs/2607.08632v1,https://arxiv.org/pdf/2607.08632v1,https://arxiv.org/e-print/2607.08632v1,http://creativecommons.org/licenses/by/4.0/,Vereecke_260709.tex,1,419,429,"[Extremality of all Series--Sinai states, \cite{SS90}]
\label{conj:ss_conjecture}
    Let \(p,\,q\ge{3}\) such that \(1/p+1/q<1/2\).
    For \(\beta \in (0, \infty)\) large enough,
    \begin{equation}
        \mathrm{SS}_{\beta}(p,q)
        \subset
        \exG_\beta.
    \end{equation}","[Extremality of all Series--Sinai states, ] Let \(p,\,q >= 3 \) such that \(1/p+1/q<1/2\). For \( in (0, )\) large enough, equation SS_ (p,q) subset _. equation",188bfe80b3fc14d8f0a2de636d1ebff304c12ce95bfe4f3d63686797004476cf,https://creativecommons.org/licenses/by/4.0/,cc_by,publish_text,True,creativecommons_license_treated_as_publishable,hf-publication-v2
4415,2607.08630v1,Perfect Matchings with Prescribed Differences Beyond Hall: The Two-Hole Problem,2026-07-09T16:00:50Z,2026-07-09T16:00:50Z,Aryeh Lev Zabokritskiy,math.CO,math.CO,,,,http://arxiv.org/abs/2607.08630v1,https://arxiv.org/pdf/2607.08630v1,https://arxiv.org/e-print/2607.08630v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,Perfect_Matchings_Two_Hole_arxiv_reader_polished.tex,1,530,535,"\label{conj:bgs}
Let $M=[v_0,\ldots,v_{2^{s-1}-1}]$ have nonzero columns and satisfy
$\sum_{i=0}^{2^{s-1}-1}v_i=0$.  Then $M$ has a Hadamard pair solution.","Let $M=[v_0,,v_ 2^ s-1 -1 ]$ have nonzero columns and satisfy $_ i=0 ^ 2^ s-1 -1 v_i=0$. Then $M$ has a Hadamard pair solution.",333f38391e91a9a37063092f940cabe983cd26edae1f5d77fad0973c4f64ee57,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,arxiv_nonexclusive_distrib,withhold_text,False,arxiv_nonexclusive_distribution_license,hf-publication-v2
4416,2607.08622v1,Deformed Hermitian-Yang-Mills equation on the manifold of full flags,2026-07-09T15:54:58Z,2026-07-09T15:54:58Z,Benoit Charbonneau;Gonçalo Oliveira;Rosa Sena-Dias,math.DG,math.DG,,,"48 pages, 8 figures",http://arxiv.org/abs/2607.08622v1,https://arxiv.org/pdf/2607.08622v1,https://arxiv.org/e-print/2607.08622v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,dHYM.tex,1,932,941,"\label{cjy_conjecture}
Let $(X^n,\omega)$ be a connected, compact K\""ahler manifold and $\Omega\in \Homology^{1,1}(X,\Reals)$. Assume that $Z_X(\Omega)\ne 0$, $\mathcal{H}_{\Omega}$ is non-empty, and $\Omega$ is supercritical. Then, the following are equivalent 
\begin{enumerate} 
\item The dHYM equation admits a solution\label{exitsdHYMsol}.
\item For every proper subvariety $V\subset X$,\label{central>0}
\begin{equation}
		\Im \left( \frac{Z_V(\Omega)}{Z_X(\Omega)} \right)>0.
	\end{equation}		
\end{enumerate}","Let $(X^n,)$ be a connected, compact K\""ahler manifold and $ in ^ 1,1 (X,)$. Assume that $Z_X() 0$, $H_ $ is non-empty, and $$ is supercritical. Then, the following are equivalent The dHYM equation admits a solution. For every proper subvariety $V subset X$, equation ( Z_V() Z_X() )>0. equation",516447e59ae1b73930e43fe13c605c8dc9e5573baf1c90e0b4fb2de72a1d94ad,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,arxiv_nonexclusive_distrib,withhold_text,False,arxiv_nonexclusive_distribution_license,hf-publication-v2
4417,2607.08622v1,Deformed Hermitian-Yang-Mills equation on the manifold of full flags,2026-07-09T15:54:58Z,2026-07-09T15:54:58Z,Benoit Charbonneau;Gonçalo Oliveira;Rosa Sena-Dias,math.DG,math.DG,,,"48 pages, 8 figures",http://arxiv.org/abs/2607.08622v1,https://arxiv.org/pdf/2607.08622v1,https://arxiv.org/e-print/2607.08622v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,dHYM.tex,2,945,947,"\label{conj8.7CY} The set
$\mathcal{H}_{\Omega}$ is non-empty and $\Omega$ has hypercritical phase if and only if for any irreducible subvariety $V$ of $X$, $\Im(Z_V(\Omega)) > 0$.","The set $H_ $ is non-empty and $$ has hypercritical phase if and only if for any irreducible subvariety $V$ of $X$, $(Z_V()) > 0$.",95fee045d24dcbeb3c661f58d9e0c87e2a87e34c940717b4d732b10414c82126,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,arxiv_nonexclusive_distrib,withhold_text,False,arxiv_nonexclusive_distribution_license,hf-publication-v2
4418,2607.08609v1,Proof of Rump's Retraction Conjecture for Quasilinear Cycle Sets,2026-07-09T15:38:33Z,2026-07-09T15:38:33Z,Carsten Dietzel,math.QA;math.GR;math.RA,math.QA,,,"14 pages, Comments Welcome!",http://arxiv.org/abs/2607.08609v1,https://arxiv.org/pdf/2607.08609v1,https://arxiv.org/e-print/2607.08609v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,main.tex,1,204,206,"\label{conj:retraction_conjecture}
    If $X$ is a squarefree cycle set with $|X| > 1$, then $X$ is retractable.","If $X$ is a squarefree cycle set with $|X| > 1$, then $X$ is retractable.",8540d71c6d7b3df39d857f0b19660b44286025c813c02960a2d441da4870535c,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,arxiv_nonexclusive_distrib,withhold_text,False,arxiv_nonexclusive_distribution_license,hf-publication-v2
4419,2607.08609v1,Proof of Rump's Retraction Conjecture for Quasilinear Cycle Sets,2026-07-09T15:38:33Z,2026-07-09T15:38:33Z,Carsten Dietzel,math.QA;math.GR;math.RA,math.QA,,,"14 pages, Comments Welcome!",http://arxiv.org/abs/2607.08609v1,https://arxiv.org/pdf/2607.08609v1,https://arxiv.org/e-print/2607.08609v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,main.tex,2,224,226,"\label{conjecture:retraction_conjecture_intro}
    If $A$ is a quasilinear cycle set with $|A| > 1$, then $A$ is retractable.","If $A$ is a quasilinear cycle set with $|A| > 1$, then $A$ is retractable.",dc5cd11764c4454376e37de59d3519903dacbe4f13e58d1837ff1197346e8a3b,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,arxiv_nonexclusive_distrib,withhold_text,False,arxiv_nonexclusive_distribution_license,hf-publication-v2
4420,2607.08609v1,Proof of Rump's Retraction Conjecture for Quasilinear Cycle Sets,2026-07-09T15:38:33Z,2026-07-09T15:38:33Z,Carsten Dietzel,math.QA;math.GR;math.RA,math.QA,,,"14 pages, Comments Welcome!",http://arxiv.org/abs/2607.08609v1,https://arxiv.org/pdf/2607.08609v1,https://arxiv.org/e-print/2607.08609v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,main.tex,3,230,232,"\label{conj:size_p_is_retractable}
    If $A$ is a quasilinear cycle set of size $p$, where $p$ is a prime, then there is an isomorphism of quasilinear cycle sets $A \cong \Z_p$, where $x \ast y = \alpha \cdot y$ for some fixed $\alpha \in \Z_p \setminus \{ 0 \}$.","If $A$ is a quasilinear cycle set of size $p$, where $p$ is a prime, then there is an isomorphism of quasilinear cycle sets $A _p$, where $x y = * y$ for some fixed $ in _p 0 $.",1c02b40875f502f2ae4676ba3008e2f1a2ae95eb8ee13c0d47ad03dd32eb77f1,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,arxiv_nonexclusive_distrib,withhold_text,False,arxiv_nonexclusive_distribution_license,hf-publication-v2
