id,arxiv_id,title,published_at,updated_at,authors,categories,primary_category,doi,journal_ref,comments,abs_url,pdf_url,source_url,license_url,source_file,index_in_file,start_line,end_line,body_tex,plain_text,content_hash,normalized_license_url,license_family,publication_decision,publication_text_allowed,publication_text_reason,publication_policy_version,latest_label_model,latest_label,latest_label_confidence,latest_interestingness_score,latest_interestingness_confidence,latest_interestingness_rationale,latest_viability_score,latest_viability_confidence,latest_viability_rationale,latest_assessment_version,latest_label_rationale,latest_evidence_snippet,latest_labeled_at,text_withheld
4411,2607.08677v1,Twofold universality of large-$N$ melonic random tensors,2026-07-09T16:41:50Z,2026-07-09T16:41:50Z,Carlos I. Perez-Sanchez,math.CO;cond-mat.stat-mech;hep-th;math-ph;math.PR,math.CO,,,"22 pp, 12pt fontsize, several figures. Comments welcome",http://arxiv.org/abs/2607.08677v1,https://arxiv.org/pdf/2607.08677v1,https://arxiv.org/e-print/2607.08677v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,uniwersalnosc_melonow.tex,1,1714,1733,,,9290de979929120ba4364e88a921266592eae75b8ab9d628e1e1de5759fd46b6,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,arxiv_nonexclusive_distrib,withhold_text,False,arxiv_nonexclusive_distribution_license,hf-publication-v2,gpt-5-mini,real_open_conjecture,0.9,0.6,0.7,,0.6,0.5,,gpt5mini-v5-open-exact-v1,,,2026-07-12T15:00:13Z,True
4412,2607.08660v1,Reduction modulo p of crystalline Galois representations via μ_p-equivariance,2026-07-09T16:28:13Z,2026-07-09T16:28:13Z,Bhargav Bhatt;Toby Gee;Mark Kisin,math.NT;math.AG,math.NT,,,90 pages,http://arxiv.org/abs/2607.08660v1,https://arxiv.org/pdf/2607.08660v1,https://arxiv.org/e-print/2607.08660v1,http://creativecommons.org/licenses/by/4.0/,inertial-weights-F-gauges.tex,1,1440,1444,"\label{conj:mainconj} Suppose that $\rhobar$ is semisimple. Then 
\[
  W(\rhobar)=W^{\cris}(\rhobar)=W^{\explicit}(\rhobar).
\]",Suppose that $$ is semisimple. Then \[ W()=W^ ()=W^ (). \],f324b49bcb691464202b2b0b87ecb9bbafdf1956429b1bd4eb536b3474d63de4,https://creativecommons.org/licenses/by/4.0/,cc_by,publish_text,True,creativecommons_license_treated_as_publishable,hf-publication-v2,gpt-5-mini,real_open_conjecture,0.95,0.8,0.8,A broad Serre-weight identification for semisimple L-parameters tying crystalline lifts to explicit inertial descriptions; central to local Langlands/Serre-weight problems and impactful across automorphy applications.,0.25,0.4,"Deep general Serre-weight equality: strong partial results and elimination direction proved, but full equality for general groups remains a major, technically difficult problem.",gpt5mini-v5-open-exact-v1,The authors formulate this as an 'optimistic conjecture' and prove inclusions (upper bounds) but do not establish the claimed equalities in full generality.,We make the following optimistic conjecture. Suppose that rhobar is semisimple. Then W(rhobar)=W^{cris}(rhobar)=W^{explicit}(rhobar).,2026-07-12T15:00:13Z,False
4413,2607.08660v1,Reduction modulo p of crystalline Galois representations via μ_p-equivariance,2026-07-09T16:28:13Z,2026-07-09T16:28:13Z,Bhargav Bhatt;Toby Gee;Mark Kisin,math.NT;math.AG,math.NT,,,90 pages,http://arxiv.org/abs/2607.08660v1,https://arxiv.org/pdf/2607.08660v1,https://arxiv.org/e-print/2607.08660v1,http://creativecommons.org/licenses/by/4.0/,inertial-weights-F-gauges.tex,2,4613,4616,"\label{optimistic-conj:crystalline-Serre-weight}
  If~$\rhobar:\Gal_{\Qp}\to\LG(\Fpbar)$ is semisimple, then~$W(\rhobar)=W^{\cris}(\rhobar)=W^{\explicit}(\rhobar)$.","If $:_ to ()$ is semisimple, then $W()=W^ ()=W^ ()$.",a0ddb7748115d99a7272102834befd5e3261109e1ba53235c5e16523a470caaa,https://creativecommons.org/licenses/by/4.0/,cc_by,publish_text,True,creativecommons_license_treated_as_publishable,hf-publication-v2,gpt-5-mini,real_open_conjecture,0.95,0.8,0.8,"Same optimistic Serre-weight equality as above: a substantial, structural conjecture in p-adic/automorphic Galois representation theory with clear broader consequences for weight elimination and global applications.",0.25,0.4,Same optimistic Serre-weight conjecture as 4412: substantial progress but full resolution for general unramified groups is still hard despite active work.,gpt5mini-v5-open-exact-v1,"Same optimistic conjecture restated; the paper proves W^{cris}(hobar) subseteq W^{explicit}(hobar) but not the full equality, so the exact statement remains open.","If rhobar is semisimple, then W(rhobar)=W^{cris}(rhobar)=W^{explicit}(rhobar). (Formulated as an optimistic conjecture.)",2026-07-12T15:00:13Z,False
4414,2607.08632v1,Uncountably many extremal Series--Sinai states for the Ising model on Lobachevsky lattices,2026-07-09T16:01:40Z,2026-07-09T16:01:40Z,Jean Vereecke,math.PR,math.PR,,,"11 pages, 7 figures. Comments are welcome",http://arxiv.org/abs/2607.08632v1,https://arxiv.org/pdf/2607.08632v1,https://arxiv.org/e-print/2607.08632v1,http://creativecommons.org/licenses/by/4.0/,Vereecke_260709.tex,1,419,429,"[Extremality of all Series--Sinai states, \cite{SS90}]
\label{conj:ss_conjecture}
    Let \(p,\,q\ge{3}\) such that \(1/p+1/q<1/2\).
    For \(\beta \in (0, \infty)\) large enough,
    \begin{equation}
        \mathrm{SS}_{\beta}(p,q)
        \subset
        \exG_\beta.
    \end{equation}","[Extremality of all Series--Sinai states, ] Let \(p,\,q >= 3 \) such that \(1/p+1/q<1/2\). For \( in (0, )\) large enough, equation SS_ (p,q) subset _. equation",188bfe80b3fc14d8f0a2de636d1ebff304c12ce95bfe4f3d63686797004476cf,https://creativecommons.org/licenses/by/4.0/,cc_by,publish_text,True,creativecommons_license_treated_as_publishable,hf-publication-v2,gpt-5-mini,real_open_conjecture,0.85,0.58,0.65,Extremality of Series--Sinai states is a meaningful problem in hyperbolic-lattice statistical mechanics with concrete geometric content; significant within the niche of Gibbs measures on nonamenable graphs.,0.25,0.35,"Classical extremality conjecture for Series--Sinai states: partial constructions of extremal families exist, but proving all cases remains challenging in hyperbolic statistical mechanics.",gpt5mini-v5-open-exact-v1,The Series--Sinai extremality is stated as a conjecture; this paper constructs many extremal states but does not claim to prove extremality of all Series--Sinai states in full generality.,"They stated the following conjecture. For beta large enough, SS_beta(p,q) subset exG_beta.",2026-07-12T15:00:13Z,False
4415,2607.08630v1,Perfect Matchings with Prescribed Differences Beyond Hall: The Two-Hole Problem,2026-07-09T16:00:50Z,2026-07-09T16:00:50Z,Aryeh Lev Zabokritskiy,math.CO,math.CO,,,,http://arxiv.org/abs/2607.08630v1,https://arxiv.org/pdf/2607.08630v1,https://arxiv.org/e-print/2607.08630v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,Perfect_Matchings_Two_Hole_arxiv_reader_polished.tex,1,530,535,,,333f38391e91a9a37063092f940cabe983cd26edae1f5d77fad0973c4f64ee57,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,arxiv_nonexclusive_distrib,withhold_text,False,arxiv_nonexclusive_distribution_license,hf-publication-v2,gpt-5-mini,real_open_conjecture,0.95,0.63,0.7,,0.2,0.4,,gpt5mini-v5-open-exact-v1,,,2026-07-12T15:00:13Z,True
4416,2607.08622v1,Deformed Hermitian-Yang-Mills equation on the manifold of full flags,2026-07-09T15:54:58Z,2026-07-09T15:54:58Z,Benoit Charbonneau;Gonçalo Oliveira;Rosa Sena-Dias,math.DG,math.DG,,,"48 pages, 8 figures",http://arxiv.org/abs/2607.08622v1,https://arxiv.org/pdf/2607.08622v1,https://arxiv.org/e-print/2607.08622v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,dHYM.tex,1,932,941,,,516447e59ae1b73930e43fe13c605c8dc9e5573baf1c90e0b4fb2de72a1d94ad,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,arxiv_nonexclusive_distrib,withhold_text,False,arxiv_nonexclusive_distribution_license,hf-publication-v2,gpt-5-mini,real_open_conjecture,0.9,0.78,0.75,,0.5,0.45,,gpt5mini-v5-open-exact-v1,,,2026-07-12T15:00:13Z,True
4417,2607.08622v1,Deformed Hermitian-Yang-Mills equation on the manifold of full flags,2026-07-09T15:54:58Z,2026-07-09T15:54:58Z,Benoit Charbonneau;Gonçalo Oliveira;Rosa Sena-Dias,math.DG,math.DG,,,"48 pages, 8 figures",http://arxiv.org/abs/2607.08622v1,https://arxiv.org/pdf/2607.08622v1,https://arxiv.org/e-print/2607.08622v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,dHYM.tex,2,945,947,,,95fee045d24dcbeb3c661f58d9e0c87e2a87e34c940717b4d732b10414c82126,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,arxiv_nonexclusive_distrib,withhold_text,False,arxiv_nonexclusive_distribution_license,hf-publication-v2,gpt-5-mini,not_real_conjecture,0.98,0.0,0.0,,0.0,0.0,,gpt5mini-v5-open-exact-v1,,,2026-07-12T15:00:13Z,True
4418,2607.08609v1,Proof of Rump's Retraction Conjecture for Quasilinear Cycle Sets,2026-07-09T15:38:33Z,2026-07-09T15:38:33Z,Carsten Dietzel,math.QA;math.GR;math.RA,math.QA,,,"14 pages, Comments Welcome!",http://arxiv.org/abs/2607.08609v1,https://arxiv.org/pdf/2607.08609v1,https://arxiv.org/e-print/2607.08609v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,main.tex,1,204,206,,,8540d71c6d7b3df39d857f0b19660b44286025c813c02960a2d441da4870535c,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,arxiv_nonexclusive_distrib,withhold_text,False,arxiv_nonexclusive_distribution_license,hf-publication-v2,gpt-5-mini,not_real_conjecture,0.99,0.0,0.0,,0.0,0.0,,gpt5mini-v5-open-exact-v1,,,2026-07-12T15:00:13Z,True
4419,2607.08609v1,Proof of Rump's Retraction Conjecture for Quasilinear Cycle Sets,2026-07-09T15:38:33Z,2026-07-09T15:38:33Z,Carsten Dietzel,math.QA;math.GR;math.RA,math.QA,,,"14 pages, Comments Welcome!",http://arxiv.org/abs/2607.08609v1,https://arxiv.org/pdf/2607.08609v1,https://arxiv.org/e-print/2607.08609v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,main.tex,2,224,226,,,dc5cd11764c4454376e37de59d3519903dacbe4f13e58d1837ff1197346e8a3b,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,arxiv_nonexclusive_distrib,withhold_text,False,arxiv_nonexclusive_distribution_license,hf-publication-v2,gpt-5-mini,not_real_conjecture,0.99,0.0,0.0,,0.0,0.0,,gpt5mini-v5-open-exact-v1,,,2026-07-12T15:02:13Z,True
4420,2607.08609v1,Proof of Rump's Retraction Conjecture for Quasilinear Cycle Sets,2026-07-09T15:38:33Z,2026-07-09T15:38:33Z,Carsten Dietzel,math.QA;math.GR;math.RA,math.QA,,,"14 pages, Comments Welcome!",http://arxiv.org/abs/2607.08609v1,https://arxiv.org/pdf/2607.08609v1,https://arxiv.org/e-print/2607.08609v1,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,main.tex,3,230,232,,,1c02b40875f502f2ae4676ba3008e2f1a2ae95eb8ee13c0d47ad03dd32eb77f1,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,arxiv_nonexclusive_distrib,withhold_text,False,arxiv_nonexclusive_distribution_license,hf-publication-v2,gpt-5-mini,not_real_conjecture,0.95,0.0,0.0,,0.0,0.0,,gpt5mini-v5-open-exact-v1,,,2026-07-12T15:02:13Z,True
